testStl<std::vector<int>>
100	105	0.000006080	0.000025600
1000	1005	0.000003840	0.000015040
100000	100005	0.000525120	0.001122240
1000000	1000005	0.003754240	0.010293440
10000000	10000005	0.048940800	0.126747520
100000000	100000005	0.494223360	1.304620160
testStl<std::list<int>>
100	105	0.000000320	0.000033600
1000	1005	0.000003520	0.000094400
100000	100005	0.002621760	0.011226880
1000000	1000005	0.008985920	0.084321280
10000000	10000005	0.093463360	0.837283520
100000000	100000005	0.912806080	8.756765120
testStl<std::list<int, PlexAllocator<int>>>
100	105	0.000000320	0.000025920
1000	1005	0.000001920	0.000030080
100000	100005	0.000679040	0.003648320
1000000	1000005	0.005614400	0.033648640
10000000	10000005	0.053890240	0.309132800
100000000	100000005	0.524371520	3.051538880
testAtlArray
100	105	0.000000640	0.000073600
1000	1005	0.000003200	0.000044800
100000	100005	0.000234560	0.001524160
1000000	1000005	0.001956160	0.009744000
10000000	10000005	0.032533440	0.099750720
100000000	100000005	0.268700160	0.915813120
testAtlList
100	105	0.000000320	0.000018560
1000	1005	0.000002560	0.000035840
100000	100005	0.000808960	0.004267200
1000000	1000005	0.006662080	0.043456320
10000000	10000005	0.051942720	0.386243200
100000000	100000005	0.506145920	3.875940800
testStdMap<StdMap>
100	100	0.000001280	0.000051520
1000	1000	0.000010240	0.000209920
100000	100000	0.003750720	0.043768640
1000000	999874	0.064924800	0.818711360
10000000	9988252	0.754816640	14.231026880
testStdMap<StdMapPlex>
100	100	0.000001280	0.000035520
1000	1000	0.000009600	0.000147840
100000	100000	0.004247680	0.035009600
1000000	999874	0.065471360	0.678818560
10000000	9988252	0.753028480	11.286424000
testAtlMap<AtlMap>
100	100	0.000000960	0.000038400
1000	1000	0.000008960	0.000183680
100000	100000	0.003329280	0.041638080
1000000	999874	0.089421760	0.796119040
10000000	9988252	0.990957440	12.471199040
testStdMap<StdHash>
100	100	0.000000320	0.000043520
1000	1000	0.000002880	0.000145920
100000	100000	0.001152640	0.020090560
1000000	999874	0.054539840	0.419600640
10000000	9988252	0.605823680	6.192320000
testStdMap<StdHashPlex>
100	100	0.000000320	0.000036160
1000	1000	0.000002240	0.000079680
100000	100000	0.003777280	0.019395840
1000000	999874	0.051156480	0.349299200
10000000	9988252	0.548709760	4.970021120
testAtlMap<AtlHash>
100	100	0.000001280	0.000027840
1000	1000	0.000010240	0.000078080
100000	100000	0.002527680	0.013223680
1000000	999874	0.083073280	0.294039040
10000000	9988252	0.952276480	3.918748160
