testStl<std::vector<int>>
100	105	0.000002000	0.000049000
1000	1005	0.000001000	0.000010000
100000	100005	0.000085000	0.000865000
1000000	1000005	0.000942000	0.007598000
10000000	10000005	0.025459000	0.113619000
100000000	100000005	0.259073000	1.038948000
testStl<std::list<int>>
100	105	0.000000000	0.000047000
1000	1005	0.000002000	0.000052000
100000	100005	0.000404000	0.005834000
1000000	1000005	0.002676000	0.052029000
10000000	10000005	0.025902000	0.518179000
100000000	100000005	0.275658000	5.260133000
testStl<std::list<int, PlexAllocator<int>>>
100	105	0.000001000	0.000029000
1000	1005	0.000002000	0.000026000
100000	100005	0.000223000	0.002497000
1000000	1000005	0.002301000	0.026169000
10000000	10000005	0.040122000	0.341568000
100000000	100000005	0.212741000	2.681804000
testStdMap<StdMap>
100	100	0.000001000	0.000062000
1000	1000	0.000009000	0.000150000
100000	100000	0.003190000	0.036261000
1000000	999874	0.082804000	0.874088000
10000000	9988252	0.992978000	12.742029000
testStdMap<StdMapPlex>
100	100	0.000002000	0.000064000
1000	1000	0.000009000	0.000126000
100000	100000	0.005298000	0.036658000
1000000	999874	0.084036000	0.702991000
10000000	9988252	0.959956000	11.230237000
testStdMap<StdHash>
100	100	0.000000000	0.000082000
1000	1000	0.000005000	0.000140000
100000	100000	0.003632000	0.028191000
1000000	999874	0.054724000	0.527422000
10000000	9988252	0.601428000	5.980314000
testStdMap<StdHashPlex>
100	100	0.000000000	0.000075000
1000	1000	0.000003000	0.000108000
100000	100000	0.001527000	0.016528000
1000000	999874	0.049607000	0.466917000
10000000	9988252	0.595309000	5.483827000
